Hash do merge,Data do merge,Tempo de isolamento [ramos],Tempo de isolamento [merge],Desenvolvedores 1,Desenvolvedores 2,Diferentes desenvolvedores,Mesmos desenvolvedores,Intersecção de Desenvolvedores,Commits 1,Commits 2,Arquivos alterados 1,Arquivos alterados 2,Intersecção de Arquivos,Conflito,Arquivos,Chunks
e69c63ec1b7c9afae7440030258deb4efb0b446b,2013-09-14 16:35:00 -0700,0.0026273,0.0981134,1,1,2,0,0,1,2,2,2,0,NAO,0,0
4a2dd10e71126b5015c972c2bf1d632fd4e4024b,2013-09-14 16:08:23 -0700,5.3564236,5.6459375,6,1,7,0,0,19,1,26,2,1,NAO,0,0
c4c36d282a7938ee01862df04c1e61f319161ca3,2013-09-14 14:13:43 -0700,22.8632523,23.0939468,13,1,14,0,0,42,1,140,2,1,NAO,0,0
9284a68edecbc3f94c630ff0a3781f0674d53c36,2013-09-14 14:08:24 -0700,5.1646644,5.5626157,4,1,5,0,0,15,3,21,3,0,NAO,0,0
8dbd8024572058fb3b0d10b8b8a952a46785b998,2013-09-14 12:22:00 -0700,0.6871065,1.0308218,2,1,3,0,0,5,1,4,4,0,NAO,0,0
ea2ab37e19f469af3de990cce979f16fc37c318a,2013-09-14 10:51:53 -0700,3.3368287,4.8349421,1,3,4,0,0,7,13,2,20,0,NAO,0,0
c15afaa904c4d0230b5c053924b288a680fd25e6,2013-09-14 01:32:11 -0700,0.2714815,0.5795602,1,1,2,0,0,1,3,1,3,0,NAO,0,0
85a283f36b4c2fef878a7751b1553e63db8635da,2013-09-13 21:41:15 +0300,0.0016088,0.0226157,0,0,0,0,2,0,0,0,0,2,NAO,0,0
e849c059701981b5c47555b94622f5d35b07387b,2013-09-09 22:24:53 +0700,11.6262616,13.8586343,1,11,12,0,0,2,23,3,129,0,NAO,0,0
63adde99e4b6e8d29ffc4bf82f034dd129adbdb4,2013-09-09 00:38:14 -0700,0.3025000,0.3582755,1,1,2,0,0,2,1,2,6,1,NAO,0,0
4995e04fad9a5a0902f84854c099e1ee35a75f13,2013-09-08 16:02:19 -0700,0.2036343,0.2105324,2,3,5,0,0,4,5,115,6,1,SIM,2,3
6ab0137dc9baa0ebff82b8a1a8ed4bb733db3aad,2013-09-08 15:53:58 -0700,5.0240394,5.0974074,4,1,5,0,0,6,1,5,2,0,NAO,0,0
1aebc6ff83bd0f7cd8234dc5b6c88adbb95438d6,2013-09-08 15:53:13 -0700,16.7484954,17.1630440,8,1,9,1,1,14,2,11,2,1,NAO,0,0
6c3ca9844493048a1f45e6593826c51b83736287,2013-09-08 11:23:09 -0700,48.7232407,49.8780208,17,1,18,0,0,51,2,47,2,0,NAO,0,0
c4c9175491d1f6005ce78b5f9bcd4f985ef18a68,2013-09-08 11:17:37 -0700,19.8339120,19.8763079,8,1,9,0,0,15,3,11,115,1,SIM,1,1
9a54ac57de425f0a2b7a89b91a4c657304ea1a82,2013-09-08 10:59:09 -0700,10.7314468,12.9657639,6,1,7,0,0,10,1,9,1,1,NAO,0,0
3ea46db83d5eca44ea319ca07f840ef60017d4a0,2013-09-03 13:33:42 -0700,11.7609954,12.0661574,5,1,6,1,1,7,3,7,2,1,NAO,0,0
0cb0eb231e896e40ab37b001ba23c8ecead3bd79,2013-09-03 11:41:09 -0700,6.0197801,11.9879977,4,1,5,0,0,6,1,5,2,0,NAO,0,0
172ffe487e56ca8efd41e211526197b5c114e851,2013-08-29 02:03:18 -0700,7.1978588,9.4913657,4,1,5,0,0,5,3,5,3,1,NAO,0,0
a0d58f2ff217fb6faa9a874b517819b4ab8fd372,2013-08-29 01:43:04 -0700,0.9614005,6.5726620,1,1,2,0,0,1,1,1,2,0,NAO,0,0
