Hash do merge,Data do merge,Intersecção de Desenvolvedores,Mesmos desenvolvedores,Diferentes desenvolvedores
aa9106599f033d6dfd87600c3607b91390e2b8ba,2012-10-26 08:02:27 -1100,0,0,1
f3c15feac4482723ec604bf7f250302f4c928868,2012-10-26 01:20:01 +0200,0,0,11
e6d25ed95e0c6e17d8bcda1ea8d82ab659bdeb0c,2012-10-22 14:02:54 -0700,2,1,0
0e4fcdb6bd4722ec1ba532fbf8d1483bbf4c63af,2012-10-05 10:54:18 -0700,2,9,0
e25d98d1af06477b4e923c326c614802ed106a18,2012-10-01 18:58:41 -0700,1,3,1
83f71f590a5449aac7fac5d3a473e76764524205,2012-10-01 17:57:05 -0700,1,3,1
37e12e05a89be160af2719b7c51c70934cb80537,2012-10-01 10:29:07 -0700,1,1,0
ce7caad49b49aad4d4499c0708372fd2391e0883,2012-10-01 09:10:13 -0700,0,0,1
4e8903bdbccc2b6f37cd998298c539a74cbd5975,2012-09-17 11:48:50 -0700,1,1,1
a5af2ea64f11fc24ca4ed4bc9b9af3e7f817ef8b,2012-09-17 11:48:03 -0700,1,1,1
7fcb2b77e53d51541a350f0ea3a3941756b8327b,2012-09-05 09:12:12 -0700,1,1,3
e0153062c4b75d3518f8374badac6ec8cdb6a95c,2012-09-01 17:16:18 -0700,0,0,2
