Hash do merge,Intersecção de Desenvolvedores,Arquivos em Conflito,Arquivos com Conflito causado pelo Mesmo
a988288c9b686b88578fbb5c9c83bcccf0245cd5,1,0,0,
3f4feda9b3703b9db97abbffbfbcca23c5d018ae,0,0,0,
50bf905ba72233778ed27b427e776be16cb99ace,0,0,0,
d0ecc657ce8558cae570afc4f4d9f95b85fc643b,0,0,0,
c03ddebaeffc8849f28ad7b4318f05cacd49e24c,0,0,0,
74c63f58d501aabb6a75aefd826a65ff278afef8,0,0,0,
04d95a76f8b98d5e0e0e0afc9c42de9603ca250e,1,0,0,
84d4a96ce5a6f0eebe49d91bf51272671d49aa83,2,0,0,
f6f1cb52207ebe41dcdb161f1f39877f98f4d037,1,1,1,
f5cda2b70be8d31ed7a95109be471f13dc43361d,1,0,0,
fe5820c580ecb5bbf9ef10b01342cc958401b1d0,0,0,0,
e3e315c5e9f94b53a30196dff379fcbbb46f0b87,0,2,0,
f3ca5478a74669d13525cf5f9b6494e0d8cfb72c,0,0,0,
5f3b327ffbb19d4b5cd284550e4bd61bbe393af0,0,0,0,
069d3ec91a7e2df4e82401296ce783818d02b407,0,0,0,
5c74112f7982a356855d2d96a563b5d316200e55,0,0,0,
eb39de9b9320aabfb0ecb9beec6331e1baee9a64,0,0,0,
05eebac3b36c87ab83bf61ecf35a5b0d68d5ab57,0,2,0,
467415af1912cc0092b08530efebade389118902,1,2,0,src/clipboard.js,Wliu,Benjamin Gray;script/lib/generate-startup-snapshot.js,Wliu,Tilde Ann Thurium;
bc00369f7f4e42f3275f11e81b47310fd1d60a6a,0,0,0,
5a619a883f0dd3e2e2df005aa7c5323906a72703,0,0,0,
8d48fc07daae71a8a39825c45437d782a4e8d4e8,1,0,0,
9aa50b9cd44747ac0ff82bf2750403c1b8f2f206,0,0,0,
cbcad274a7cb68774b9467decc7dee39c13d8e19,0,0,0,
4e150179a9417b2015dc6c6359d3704b3978f6a7,0,0,0,
a28ae68f3ba83b34af5744b0a62397abccd8bec4,0,1,0,
ad4553cbbae56f6e5eee9c85003093000d681fd6,1,0,0,
ddb1dec987e20392c22a3ce223e602f6f4833e82,1,0,0,
1a2dbb63be3f0ccc980f361e4e95f5e9c3359644,1,0,0,
82237e71af50968e8cd0d6d51f9a12bb5e3dc297,0,0,0,
1b64a653ea8e7aaa9b5337d4d992cf0e212500e4,0,0,0,
f922b7bd9103f0598c0059b0ddc856757e0fd4a0,1,0,0,
4dd4123aa18e536fe1f0b6c7f1a22d6f9be7a76e,0,0,0,
d942b994049472b740b4c06e1c44b8c77ccb0ff2,0,0,0,
9072e58ea73623b823e4799f42f8490753555ae4,1,0,0,
87784989adc186e94c79d960c8dc71df9109bb71,1,0,0,
c568c53609d26bb236e820278e2ad4c818aebc73,0,0,0,
0e9f4658889bd386bbfe658858c6864c7cafb7c4,0,0,0,
298db7314c708eda698008b49ba776acb091b473,0,1,0,
6367f82cc66c43224c587efe19bcf7a5b4d9edba,0,0,0,
fe7df52a5e31cb29fe6b2239fbd789c5e2b4e7cc,0,0,0,
d625e855c841b609d6f6e79d020816d4e73d1f4f,1,0,0,
53218b921b01337cda75c512e94f87d301ac7d38,0,0,0,
4a0332b7b45f8edb6585ef1398dea0e1f48d5db4,0,0,0,
6def4aa4651ffdba549cd6096ff91688a7cee0d2,0,0,0,
12bb7cdb221949564d9efc95ca1c6ebae4d821de,1,0,0,
